orb_period,xit_duration,xit_depth,body_r_per_stellar_r_rat,body_r,orb_semimajor,inc,body_temp,body_insolation_flux,stellar_temp,stellar_r,stellar_m,kepler_status
0.50948306,3.14,0.008052,1.22,0.0119,23.49,3024,19778.63,0.386,6344,1.39,0.869,2
0.559643825,0.677,0.321973,27.21,0.0119,62.83,1860,2854.44,2.77,5240,0.774,0.724,2
0.445277068,3.539,0.307625,35.74,0.012,8.59,2562,10177.11,1.312,6167,1.064,1.149,2
0.52205862,2.0847,0.283326,27.16,0.012,28.22,2022,3951.57,1.407,5359,0.878,0.847,2
0.594276199,2.0188,3.665677,266.99,0.012,53.29,1564,1414.7,6.77,4756,0.667,0.65,2
0.495434094,1.2496,0.015358,1.57,0.012,89.83,2151,5088.43,3.132,5529,0.936,0.945,2
0.504296702,1.4145,0.388885,50.41,0.012,47.56,2694,12445.73,1.9097,6140,1.187,0.899,2
0.527673075,1.3693,0.004605,0.42,0.012,87.43,1970,3535.35,2.991171,5367,0.828,0.817,2
0.566799927,4.71,0.010897,0.77,0.012,80.47,1649,1738.27,1.137,5092,0.645,0.712,2
0.54624855,2.0543,0.242745,18.93,0.0121,24.42,1837,2677.36,1.334,5414,0.714,0.792,2
0.530959357,2.417,0.008401,0.69,0.0121,78.33,1852,2764.64,1.722,5325,0.75,0.84,2
0.539915033,1.1466,0.008937,0.82,0.0121,85.27,1871,2901.68,3.532,5102,0.837,0.811,0
0.56678228,4.725,0.010717,0.88,0.0121,82.26,1661,1814.33,1.1364,4796,0.749,0.742,2
0.475068516,0.8552,0.009881,1.03,0.0121,84.04,2372,7444.39,3.97,6045,0.955,1.038,2
0.56493398,2.4385,0.311105,30.51,0.0121,28.32,2206,5609.14,1.431,5808,0.898,0.743,2
0.562273947,3.1572,0.007913,0.73,0.0121,59.73,2083,4412.19,1.313,5632,0.847,0.736,2
0.566797404,4.109,0.007529,0.64,0.0121,84.47,1890,2993.84,1.237,5313,0.784,0.727,2
0.513482156,2.732,0.008629,0.83,0.0121,89.85,2072,4335.56,1.572,5495,0.882,0.887,2
0.576732089,1.856,0.005496,0.43,0.0121,76.19,1537,1316.33,2.17,4524,0.717,0.707,1
0.502454299,2.31547,0.44673,43.95,0.0121,52.05,2336,7025.25,1.9025,6134,0.901,0.932,2
0.525426427,1.0801,0.016596,1.45,0.0122,88.3,2069,4349.62,3.802,5791,0.802,0.889,2
0.6243875,1.92102,0.436347,29.45,0.0122,61.97,1639,1693.36,2.4615,5211,0.618,0.612,2
0.692015479,1.1315,0.355752,19.31,0.0122,60.86,1057,294.34,2.6,3752,0.497,0.503,2
0.512581697,1.5789,0.01472,1.32,0.0122,83.5,2009,3827.79,2.5,5547,0.82,0.918,2
0.366197145,1.2335,0.014924,51.34,0.0122,81.97,9983,2335438.28,2.28,4448,31.5,1.789,2
0.633514386,1.2792,0.01202,0.81,0.0122,86.49,1357,807.27,3.779,4330,0.618,0.61,2
0.487656278,1.0129,0.009643,0.99,0.0122,89.43,2299,6647.8,3.757,5957,0.937,1.026,1
0.499664962,1.6123,0.005351,0.5,0.0122,83.22,2056,4230.98,2.372,5570,0.855,0.971,2
0.597018404,0.4778,0.015774,1.09,0.0122,87.12,1578,1473.77,8.77,4985,0.63,0.688,1
0.56678694,1.959,0.007096,0.63,0.0122,84.58,1920,3194.49,2.26,5341,0.808,0.747,2
0.589049151,2.25397,0.469243,39.51,0.0122,61.81,1959,3495.15,2.3163,5592,0.771,0.703,2
0.587938916,1.40211,0.370942,29.98,0.0122,54.81,1800,2476.75,2.181,5237,0.74,0.698,2
0.607191908,1.30166,0.169749,12.44,0.0122,70.72,1759,2251.28,2.7778,5370,0.671,0.649,2
0.591914504,1.0225,0.380366,27.21,0.0123,46.21,1646,1746.78,1.942,5122,0.655,0.713,2
0.61496383,1.93053,0.618606,44.79,0.0123,82.51,1460,1074.84,3.8819,4509,0.663,0.656,2
0.623393802,1.40392,0.404339,28.21,0.0123,68.18,1379,849.08,3.058,4330,0.639,0.632,2
0.623441636,1.46001,0.408688,29.19,0.0123,63.03,1711,2025.22,2.667,5319,0.654,0.638,2
0.66682654,0.7847,0.024547,1.49,0.0123,76.88,1183,461.55,3.77,3993,0.554,0.556,1
0.56681727,1.779,0.005444,0.42,0.0123,89.04,1832,2676.11,2.52,5481,0.708,0.806,2
0.524175803,0.7648,0.014228,1.27,0.0123,86.42,1891,3049.23,5.08,5278,0.815,0.911,0
0.566802325,1.842,0.015554,1.4,0.0123,80.21,1889,3012,2.309,5233,0.824,0.764,2
0.639721284,2.69771,0.682637,46.59,0.0123,82.61,1505,1220.53,3.1409,4794,0.625,0.612,2
0.505322676,5.2727,0.461721,46.59,0.0123,45.47,2275,6291.87,1.477361,5941,0.924,0.962,2
0.644322147,0.893,0.365023,24.39,0.0124,53.29,1592,1516.94,2.206,5136,0.612,0.608,1
0.536650896,4.702,0.191796,18.45,0.0124,10.48,2163,5179.76,1.195,5819,0.881,0.884,2
0.589458602,0.8278,0.011524,0.98,0.0124,89.11,1848,2736.51,5.514,5286,0.776,0.722,2
0.514771509,1.256,0.006045,0.57,0.0124,85.94,2113,4749.21,3.134,5730,0.87,0.968,2
0.533000886,1.54684,0.352317,40.94,0.0124,44.35,2429,8170.3,1.778,5934,1.064,0.885,2
0.566810701,6.19,0.018177,1.49,0.0124,13.58,1921,3220.92,1.0102,5593,0.752,0.791,2
0.566798676,2.777,0.007001,0.68,0.0124,89.66,2051,4160.07,1.6832,5490,0.887,0.783,2
0.522457732,0.8907,0.014601,1.52,0.0125,55.24,2308,6715.55,1.695,5991,0.954,0.956,2
0.567856484,1.0258,0.016679,1.55,0.0125,85.49,1848,2760.23,4.126,5073,0.853,0.806,0
0.520222869,1.2216,0.015613,1.52,0.0125,78.64,2145,5038.49,2.852,5776,0.889,0.97,2
0.577369336,1.0852,0.01816,1.42,0.0125,89.56,1757,2239.26,4.179,5255,0.716,0.776,0
0.512869432,4.015,0.318442,31.12,0.0125,19.26,2185,5384.53,1.338,5853,0.895,0.99,2
0.701944362,0.641,0.013524,0.8,0.0125,89.52,1227,535.78,8.48,4236,0.539,0.528,1
0.708726708,0.753,0.016379,0.92,0.0125,87.73,1302,684.35,7.05,4607,0.515,0.522,2
0.542636318,1.2536,0.0078,1.39,0.0125,89.05,2659,11844.28,3.38,5277,1.633,0.888,2
0.572513875,2.353,0.006287,0.52,0.0125,88.85,1779,2365.45,1.963,5171,0.76,0.793,2
0.541405029,2.7481,0.645629,125.64,0.0125,75.38,2679,12266.51,2.54,5096,1.782,0.898,2
0.527678272,2.33166,0.46755,75.31,0.0125,81.54,2551,9989.53,2.6188,5321,1.475,0.931,2
0.589753355,0.606,0.013925,1.03,0.0125,87.47,1760,2262.14,7.18,5414,0.678,0.759,2
0.571038347,1.1267,0.017056,1.65,0.0126,66.6,1897,3069.59,2.21,5132,0.886,0.82,0
0.614701901,0.947,0.010403,0.82,0.0126,87.09,1656,1779.79,4.91,4954,0.724,0.699,2
